	X	idx	beta	pval	cilb	ciub	i2	tau2	symbol.x	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol.y
886	ENSG00000187091.12	42373	-0.582918494652731	5.23140612679936e-05	-0.865362942958105	-0.300474046347358	98.6192904094464	0.44841123457105	PLCD1	0.909412441889075	0.868836627524041	0.951883200204708	4.55242991256347e-05	0.881302018979993	0.82109089498418	0.945928463465883	0.000466046262138442	PLCD1
888	ENSG00000187323.10	44786	-1.53057704603094	9.75122072633537e-06	-2.20888028309529	-0.852273808966584	96.5570725407632	2.36239737686334	DCC	0.979895169446194	0.964750966535225	0.995277098868733	0.0105980260926812	0.976764677404638	0.95598791798354	0.997992984093145	0.0321046274711052	DCC
894	ENSG00000188486.3	25972	1.08704909296223	4.83331309005229e-19	0.848088631670281	1.32600955425417	95.5566643214012	0.289436763137384	H2AFX	1.09763461762541	1.04360000043866	1.15446699243318	0.000298157597529011	1.07015136876529	0.955536487624224	1.19851409852241	0.240776448143709	H2AFX
917	ENSG00000197299.9	21409	1.76733687059733	2.93713332623575e-15	1.32850804579663	2.20616569539803	97.9583184788388	1.06524513559452	BLM	1.12761061320116	1.07712163779778	1.18046620770106	2.76742709081194e-07	1.13956444050773	1.01736720260206	1.27643894038291	0.0239779655011477	BLM
919	ENSG00000197579.6	59244	-0.314871354898209	2.25884570289167e-17	-0.387649945116738	-0.24209276467968	88.0252130450674	0.0237083638685023	TOPORS	0.875060350406937	0.809224696908439	0.946252159356614	0.000824790720104097	0.87421037663342	0.802891649868843	0.951864155939832	0.00196051797987589	TOPORS
931	ENSG00000198964.12	49384	-0.427373646787613	1.0318739107423e-06	-0.598828713351919	-0.255918580223307	96.6849865956847	0.158285763973125	SGMS1	0.926435357763548	0.868336377135819	0.988421647087378	0.0207556522185622	0.917930182515419	0.809330408692709	1.04110238651951	0.182542295700525	SGMS1
952	ENSG00000231607.7	33873	0.78791540095903	4.12153243964098e-13	0.574954790757773	1.00087601116029	95.0632160421067	0.232796706696884	DLEU2	1.07241749384434	1.02427011238236	1.12282811652913	0.00285293014861898	1.11149864928035	0.993690677921812	1.24327346004272	0.0644229913182625	DLEU2
956	ENSG00000239672.6	20687	1.17941958408608	9.27139155931536e-17	0.901372230705902	1.45746693746627	96.98360325413	0.423029761114988	NME1	1.1029355810259	1.04861959559685	1.16006500450772	0.000143252534948296	1.08312515905844	0.988281876441726	1.18707034718606	0.0876632527841085	NME1
971	ENSG00000265972.4	49398	-1.11414229558553	1.39541326296872e-08	-1.4990026685826	-0.729281922588452	97.9848220879377	0.825580798830907	TXNIP	0.942112921112014	0.90582338017912	0.979856311448597	0.00292683635025707	0.951703051645002	0.887233570337861	1.02085711000036	0.16661106881547	TXNIP
974	ENSG00000266412.4	50628	-0.523030048649459	3.55649184877486e-14	-0.658336860717235	-0.387723236581684	95.3808838946323	0.0971258201246793	NCOA4	0.851883559739136	0.791826373461033	0.916495867877953	1.72602211783441e-05	0.876307711711193	0.74959518906119	1.02443988009883	0.0975287661543327	NCOA4
