,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol
61,ENSG00000011465.15,45197,-2.62598667787381,1.93501991343309e-11,-3.39293035424331,-1.85904300150431,98.827555521046,3.28839781285479,DCN
62,ENSG00000196159.10,33257,-1.39230667780721,1.95914232995688e-11,-1.79905228370868,-0.985561071905738,97.4744565512161,0.901036086808391,FAT4
63,ENSG00000096717.10,3197,-0.468434987197317,2.60255804149543e-11,-0.606135810066219,-0.330734164328415,95.2711833923943,0.0976748117303422,SIRT1
64,ENSG00000129596.4,1814,-2.95205098927674,3.57278709593885e-11,-3.82595147845984,-2.07815050009365,98.899014275419,4.27297255300929,CDO1
65,ENSG00000171862.8,40590,-0.466678287818083,3.64959515133532e-11,-0.604895472888389,-0.328461102747776,96.5062450458872,0.105877235933054,PTEN
67,ENSG00000151090.16,43992,-1.6374780258343,4.44987280154291e-11,-2.12461637825608,-1.15033967341251,99.0632047185808,1.34922402821578,THRB
68,ENSG00000115310.16,46369,-0.446195453852793,4.66163436445354e-11,-0.579074825556711,-0.313316082148874,95.2999490557145,0.0883154857714718,RTN4
69,ENSG00000178343.4,8324,-2.70003538453288,5.08463636204785e-11,-3.50570234109995,-1.89436842796582,97.7088297363028,3.46980367708115,SHISA3
70,ENSG00000128016.5,48594,-1.33436770585575,5.18625069028306e-11,-1.73271012765249,-0.936025284059019,94.4791740410704,0.806797679950601,ZFP36
71,ENSG00000123358.18,47858,-1.75768616242719,5.38704737560604e-11,-2.28285274321215,-1.23251958164224,95.0522644470217,1.46302060619413,NR4A1
72,ENSG00000162772.15,53187,-1.34159258330161,5.95469727687863e-11,-1.74335349756719,-0.939831669036016,92.5660437149973,0.83256196796862,ATF3
73,ENSG00000164442.9,59384,-1.11802759090195,7.2419760842068e-11,-1.45434470938111,-0.781710472422778,97.8436365634681,0.604753450274316,CITED2
77,ENSG00000129757.11,15467,-1.22490565179986,1.45874054783066e-10,-1.59946257468884,-0.850348728910872,97.4359194396694,0.735669438537608,CDKN1C
78,ENSG00000159388.5,57516,-1.10333155959799,1.48978779794793e-10,-1.44088217354287,-0.765780945653116,95.2177619804081,0.603401849627499,BTG2
79,ENSG00000116473.13,19964,-0.61244692215093,1.53303038930004e-10,-0.799945246612284,-0.424948597689577,98.1627645551958,0.186965720236198,RAP1A
81,ENSG00000015171.17,34667,-0.511191051644701,2.01935969738625e-10,-0.668728456715956,-0.353653646573446,97.4593904014535,0.133085953603115,ZMYND11
82,ENSG00000136826.13,2798,-1.41641122515143,2.0429188593624e-10,-1.85303914658504,-0.979783303717814,97.1585130217697,1.03990008894138,KLF4
83,ENSG00000143416.19,18421,-1.66439801085685,2.25294342649608e-10,-2.17868879085389,-1.15010723085981,98.8978734983861,1.48761209037128,SELENBP1
84,ENSG00000165478.6,10903,-4.00464015188603,2.55001682168689e-10,-5.24579190238743,-2.76348840138462,97.2891171063632,8.22934641997166,HEPACAM
85,ENSG00000082175.13,26745,-2.40910832852956,2.70407625694041e-10,-3.15683134815034,-1.66138530890879,98.5691938559255,3.21009627889748,PGR
87,ENSG00000140538.15,49789,-2.34615380587176,2.92611175094987e-10,-3.0757487562043,-1.61655885553923,98.5290000282962,3.01266004011564,NTRK3
